state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
Bihar/Jharkhand,Airtel,320,9,64,Internet,320,NA,NA,NA
Assam,Idea,240,9,47,Internet,240,NA,NA,NA
North East,Idea,240,9,47,Internet,240,NA,NA,NA
Orissa,Idea,240,9,47,Internet,240,NA,NA,NA
Jammu and Kashmir,Reliance,300,10,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Maharashtra/Goa,Idea,15,5,5,FB,NA,15,NA,NA
UP West/Uttarakhand,Idea,15,5,5,FB,NA,15,NA,NA
UP East,Airtel,275,8,57,Internet,275,NA,NA,NA
Mumbai,Airtel,275,8,56,Internet,275,NA,NA,NA
Himachal Pradesh,Idea,290,8,58,Internet,290,NA,NA,NA
Punjab,Idea,295,8,59,Internet,295,NA,NA,NA
Rajasthan,Airtel,280,8,56,Internet,280,NA,NA,NA
Delhi NCR,Idea,200,15,21,FB,NA,200,NA,NA
Rajasthan,Idea,200,15,21,FB,NA,200,NA,NA
Gujarat,Idea,300,8,59,Internet,300,NA,NA,NA
Gujarat,Airtel,300,8,59,Internet,300,NA,NA,NA
Andhra Pradesh,Idea,275,8,54,Internet,275,NA,NA,NA
Andhra Pradesh,Reliance,300,10,47,Internet,300,NA,NA,NA
Karnataka,Idea,300,8,58,Internet,300,NA,NA,NA
Karnataka,Airtel,300,8,58,Internet,300,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,300,8,58,Internet,300,NA,NA,NA
West Bengal,Idea,300,8,58,Internet,300,NA,NA,NA
UP West/Uttarakhand,Airtel,300,8,57,Internet,300,NA,NA,NA
Haryana,Idea,100,10,15,FB,NA,100,NA,NA
Tamil Nadu,Idea,300,10,44,Internet,300,NA,NA,NA
UP West/Uttarakhand,Idea,150,10,22,FB,NA,150,NA,NA
UP East,Airtel,350,7,73,Internet,350,NA,NA,NA
Kolkata,Airtel,250,7,52,Internet,250,NA,NA,NA
Mumbai,Idea,250,7,52,Internet,250,NA,NA,NA
Rajasthan,Idea,250,7,52,Internet,250,NA,NA,NA
West Bengal,Airtel,250,7,52,Internet,250,NA,NA,NA
Jammu and Kashmir,Airtel,200,7,41,WA,NA,NA,NA,200
Maharashtra/Goa,Airtel,225,7,46,Internet,225,NA,NA,NA
Mumbai,Airtel,225,7,46,Internet,225,NA,NA,NA
Punjab,Idea,225,7,46,Internet,225,NA,NA,NA
Bihar/Jharkhand,Idea,250,7,51,Internet,250,NA,NA,NA
Kolkata,Idea,235,7,47,Internet,235,NA,NA,NA
Maharashtra/Goa,Idea,260,7,52,Internet,260,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,260,7,52,Internet,260,NA,NA,NA
Rajasthan,Idea,235,7,47,Internet,235,NA,NA,NA
UP East,Idea,255,7,51,Internet,255,NA,NA,NA
UP East,Airtel,230,7,46,Internet,230,NA,NA,NA
UP West/Uttarakhand,Idea,240,7,48,Internet,240,NA,NA,NA
West Bengal,Idea,235,7,47,Internet,235,NA,NA,NA
Rajasthan,Reliance,1500,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Chennai,Airtel,225,7,44,Internet,225,NA,NA,NA
Tamil Nadu,Airtel,225,7,44,Internet,225,NA,NA,NA
Jammu and Kashmir,Reliance,150,7,29,Internet,150,NA,NA,NA
Andhra Pradesh,Airtel,250,7,48,Internet,250,NA,NA,NA
Assam,Airtel,250,7,48,Internet,250,NA,NA,NA
North East,Airtel,250,7,48,Internet,250,NA,NA,NA
Delhi NCR,Idea,275,7,52,Internet,275,NA,NA,NA
Chennai,Reliance,1000,21,63,Internet,1000,NA,NA,NA
Tamil Nadu,Reliance,3000,30,125,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Haryana,Reliance,3000,30,124,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
UP East,Reliance,3000,30,124,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Kerala,Airtel,225,6,45,Internet,225,NA,NA,NA
Himachal Pradesh,Reliance,600,12,59,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Punjab,Reliance,600,12,59,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,200,6,39,Internet,200,NA,NA,NA
Assam,Idea,150,6,29,Internet,150,NA,NA,NA
Mumbai,Reliance,150,6,29,Internet,150,NA,NA,NA
North East,Idea,150,6,29,Internet,150,NA,NA,NA
Orissa,Idea,150,6,29,Internet,150,NA,NA,NA
UP West/Uttarakhand,Reliance,3000,28,124,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,200,6,38,Internet,200,NA,NA,NA
Jammu and Kashmir,Reliance,750,14,58,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Gujarat,Reliance,150,6,27,Internet,150,NA,NA,NA
Andhra Pradesh,Reliance,500,10,51,Internet,500,NA,NA,NA
Chennai,Reliance,500,10,51,Internet,500,NA,NA,NA
Haryana,Reliance,500,10,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Himachal Pradesh,Reliance,500,10,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Kerala,Reliance,500,10,51,Internet,500,NA,NA,NA
Punjab,Reliance,500,10,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Tamil Nadu,Reliance,500,10,51,Internet,500,NA,NA,NA
Chennai,Reliance,200,7,29,Internet,200,NA,NA,NA
Kerala,Reliance,200,7,29,Internet,200,NA,NA,NA
Assam,Airtel,125,5,25,Internet,125,NA,NA,NA
Gujarat,Airtel,175,5,35,Internet,175,NA,NA,NA
Haryana,Idea,125,5,25,Internet,125,NA,NA,NA
Haryana,Airtel,185,5,37,Internet,185,NA,NA,NA
Himachal Pradesh,Airtel,175,5,35,Internet,175,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,175,5,35,Internet,175,NA,NA,NA
North East,Airtel,125,5,25,Internet,125,NA,NA,NA
Orissa,Airtel,125,5,25,Internet,125,NA,NA,NA
Punjab,Idea,185,5,37,Internet,185,NA,NA,NA
Punjab,Airtel,185,5,37,Internet,185,NA,NA,NA
Rajasthan,Airtel,160,5,32,Internet,160,NA,NA,NA
Tamil Nadu,Airtel,125,5,25,Internet,125,NA,NA,NA
UP West/Uttarakhand,Airtel,185,5,37,Internet,185,NA,NA,NA
Assam,Reliance,500,10,49,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
North East,Reliance,500,10,49,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Andhra Pradesh,Reliance,1000,15,65,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Haryana,Reliance,1000,15,65,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
UP East,Reliance,1000,15,65,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
UP West/Uttarakhand,Reliance,1000,15,65,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Orissa,Idea,140,5,27,Internet,140,NA,NA,NA
Maharashtra/Goa,Reliance,1000,14,65,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Gujarat,Reliance,1000,14,64,Internet,1000,NA,NA,NA
Bihar/Jharkhand,Reliance,600,10,52,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Mumbai,Reliance,600,10,52,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
UP West/Uttarakhand,Airtel,120,4,26,Internet,120,NA,NA,NA
Andhra Pradesh,Reliance,135,4,29,Internet,135,NA,NA,NA
Himachal Pradesh,Reliance,300,7,36,Internet,300,NA,NA,NA
Kerala,Airtel,120,4,25,Internet,120,NA,NA,NA
Himachal Pradesh,Reliance,175,5,29,Internet,175,NA,NA,NA
Assam,Reliance,250,7,29,Internet,250,NA,NA,NA
North East,Reliance,250,7,29,Internet,250,NA,NA,NA
Andhra Pradesh,Airtel,125,4,25,Internet,125,NA,NA,NA
Bihar/Jharkhand,Idea,140,4,28,Internet,140,NA,NA,NA
Chennai,Airtel,125,4,25,Internet,125,NA,NA,NA
Haryana,Airtel,130,4,26,Internet,130,NA,NA,NA
Himachal Pradesh,Idea,140,4,28,Internet,140,NA,NA,NA
Himachal Pradesh,Airtel,125,4,25,Internet,125,NA,NA,NA
Jammu and Kashmir,Airtel,110,4,22,Internet,110,NA,NA,NA
Karnataka,Idea,130,4,26,Internet,130,NA,NA,NA
Karnataka,Airtel,125,4,25,Internet,125,NA,NA,NA
Kolkata,Idea,140,4,28,Internet,140,NA,NA,NA
Kolkata,Airtel,125,4,25,Internet,125,NA,NA,NA
Kolkata,Airtel,165,4,33,Internet,165,NA,NA,NA
Maharashtra/Goa,Airtel,125,4,25,Internet,125,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,125,4,25,Internet,125,NA,NA,NA
Mumbai,Idea,140,4,28,Internet,140,NA,NA,NA
Mumbai,Airtel,125,4,25,Internet,125,NA,NA,NA
Punjab,Idea,145,4,29,Internet,145,NA,NA,NA
Punjab,Airtel,125,4,25,Internet,125,NA,NA,NA
Rajasthan,Airtel,125,4,25,Internet,125,NA,NA,NA
UP East,Airtel,140,4,28,Internet,140,NA,NA,NA
UP West/Uttarakhand,Idea,135,4,27,Internet,135,NA,NA,NA
West Bengal,Idea,140,4,28,Internet,140,NA,NA,NA
West Bengal,Airtel,125,4,25,Internet,125,NA,NA,NA
